156;Пушкино;Город;Московская область;Центральный;106 121;108 253;107 143;Убывание
157;Ноябрьск;Город;Ямало-Ненецкий автономный округ;Уральский;107 447;107 129;106 631;Убывание
158;Евпатория;Город;Республика Крым;Южный;105 719;106 115;106 202;Прирост
159;Ачинск;Город;Красноярский край;Сибирский;106 502;106 029;105 364;Убывание
160;Ессентуки;Город;Ставропольский край;Южный;103 093;104 288;105 881;Прирост
161;Елец;Город;Липецкая область;Центральный;106 377;105 989;105 384;Убывание
162;Артём;Город;Приморский край;Дальневосточный;102 405;103 925;105 338;Прирост
163;Сергиев Посад;Город;Московская область;Центральный;106 718;106 007;104 994;Убывание
164;Арзамас;Город;Нижегородская область;Приволжский;105 065;104 831;104 785;Убывание
165;Элиста;Город;Республика Калмыкия;Южный;104 017;104 387;104 005;Убывание
166;Новокуйбышевск;Город;Самарская область;Приволжский;106 023;105 007;103 908;Убывание
167;Бердск;Город;Новосибирская область;Сибирский;101 679;102 608;102 808;Прирост
168;Ногинск;Город;Московская область;Центральный;101 897;102 247;101 847;Убывание
169;Долгопрудный;Город;Московская область;Центральный;97 505;98 788;100 567;Прирост
170;Железногорск;Город;Курская область;Центральный;97 601;98 756;99 683;Прирост
171;Сарапул;Город;Удмуртская Республика;Приволжский;99 869;99 213;98 569;Убывание
172;Ухта;Город;Республика Коми;Северо-Западный;99 155;98 894;98 293;Убывание
173;Междуреченск;Город;Кемеровская область;Сибирский;98 895;98 831;98 734;Убывание
174;Ленинск-Кузнецкий;Город;Кемеровская область;Сибирский;99 298;98 667;97 666;Убывание
175;Зеленодольск;Город;Республика Татарстан;Приволжский;98 120;98 462;98 763;Прирост
176;Воткинск;Город;Удмуртская Республика;Приволжский;98 045;98 222;98 134;Убывание
177;Тобольск;Город;Тюменская область;Уральский;98 052;98 162;98 434;Прирост
178;Серов;Город;Свердловская область;Уральский;98 294;98 041;97 940;Убывание
179;Гатчина;Город;Ленинградская область;Северо-Западный;95 860;96 334;95 623;Убывание
180;Мичуринск;Город;Тамбовская область;Центральный;96 606;95 864;94 741;Убывание
181;Великие Луки;Город;Псковская область;Северо-Западный;96 514;95 606;94 021;Убывание
182;Соликамск;Город;Пермский край;Приволжский;95 828;95 514;95 191;Убывание
183;Ханты-Мансийск;Город;Ханты-Мансийский автономный округ — Югра;Уральский;93 493;95 353;96 936;Прирост
184;Глазов;Город;Удмуртская Республика;Приволжский;94 909;94 610;93 995;Убывание
185;Саров;Город;Нижегородская область;Приволжский;94 080;94 417;94 417;>
186;Реутов;Город;Московская область;Центральный;91 529;94 180;96 627;Прирост
187;Воскресенск;Город;Московская область;Центральный;93 521;93 824;94 121;Прирост
188;Киселёвск;Город;Кемеровская область;Сибирский;94 564;93 367;92 210;Убывание
189;Магадан;Город;Магаданская область;Дальневосточный;94 344;92 974;92 081;Убывание
190;Канск;Город;Красноярский край;Сибирский;92 142;91 658;91 018;Убывание
191;Новотроицк;Город;Оренбургская область;Приволжский;93 578;91 640;89 905;Убывание
192;Каменск-Шахтинский;Город;Ростовская область;Южный;91 995;91 159;90 307;Убывание
193;Губкин;Город;Белгородская область;Центральный;87 896;87 405;87 142;Убывание
194;Бугульма;Город;Республика Татарстан;Приволжский;87 193;86 747;86 085;Убывание
195;Ейск;Город;Краснодарский край;Южный;85 855;85 760;85 192;Убывание
196;Кинешма;Город;Ивановская область;Центральный;86 067;85 344;84 561;Убывание
197;Кузнецк;Город;Пензенская область;Приволжский;86 155;85 231;84 267;Убывание
198;Бузулук;Город;Оренбургская область;Приволжский;84 671;85 199;85 896;Прирост
199;Железногорск;Город;Красноярский край;Сибирский;84 930;84 860;84 543;Убывание
200;Лобня;Город;Московская область;Центральный;82 071;84 225;86 020;Прирост
201;Чайковский;Город;Пермский край;Приволжский;82 930;83 202;83 056;Прирост
202;Усть-Илимск;Город;Иркутская область;Сибирский;83 635;83 023;82 820;Убывание
203;Михайловск;Город;Ставропольский край;Северо-Кавказский;79 607;82 743;85 387;Прирост
204;Новоуральск;Город;Свердловская область;Уральский;83 107;82 594;81 854;Убывание
205;Азов;Город;Ростовская область;Южный;82 495;81 995;81 862;Убывание
206;Юрга;Город;Кемеровская область;Сибирский;81 446;81 139;81 396;Прирост
207;Озёрск;Город;Челябинская область;Уральский;80 596;80 017;79 518;Убывание
208;Выборг;Город;Ленинградская область;Северо-Западный;80 265;79 897;79 350;Убывание
209;Кропоткин;Город;Краснодарский край;Южный;80 030;79 795;79 664;Убывание
210;Усолье-Сибирское;Город;Иркутская область;Сибирский;80 331;79 363;78 569;Убывание
211;Клин;Город;Московская область;Центральный;79 461;79 249;79 075;Убывание
212;Балашов;Город;Саратовская область;Приволжский;79 695;79 067;78 218;Убывание
213;Бор;Город;Нижегородская область;Приволжский;77 918;78 145;78 373;Прирост
214;Шадринск;Город;Курганская область;Уральский;77 215;77 031;76 393;Убывание
215;Ялта;Город;Республика Крым;Южный;76 746;77 003;78 452;Прирост
216;Троицк;Город;Челябинская область;Уральский;77 176;76 453;75 828;Убывание
217;Минеральные Воды;Город;Ставропольский край;Южный;76 205;75 974;75 620;Убывание
218;Дубна;Город;Московская область;Центральный;74 791;75 176;75 179;Прирост
219;Кирово-Чепецк;Город;Кировская область;Приволжский;75 963;75 002;74 134;Убывание
220;Биробиджан;Город;Еврейская Автономная Область;Дальневосточный;74 791;74 777;74 648;Убывание
221;Белово;Город;Кемеровская область;Сибирский;74 313;74 046;73 400;Убывание
222;Черногорск;Город;Республика Хакасия;Сибирский;73 187;73 825;74 268;Прирост
223;Анжеро-Судженск;Город;Кемеровская область;Сибирский;74 376;73 705;72 827;Убывание
224;Елабуга;Город;Республика Татарстан;Приволжский;71 991;72 929;73 333;Прирост
225;Чапаевск;Город;Самарская область;Приволжский;72 407;72 815;72 933;Прирост
226;Новоалтайск;Город;Алтайский край;Сибирский;70 985;72 308;73 134;Прирост
227;Егорьевск;Город;Московская область;Центральный;71 154;71 285;73 324;Прирост
228;Георгиевск;Город;Ставропольский край;Южный;71 017;70 803;69 944;Убывание
229;Анапа;Город;Краснодарский край;Южный;66 776;70 453;73 410;Прирост
230;Геленджик;Город;Краснодарский край;Южный;65 059;69 341;72 030;Прирост
231;Ивантеевка;Город;Московская область;Центральный;66 695;69 265;72 023;Прирост
232;Феодосия;Город;Республика Крым;Южный;69 038;69 145;68 562;Убывание
233;Чехов;Город;Московская область;Центральный;67 603;69 028;69 789;Прирост
234;Минусинск;Город;Красноярский край;Сибирский;68 867;68 270;68 309;Прирост
235;Туймазы;Город;Республика Башкортостан;Приволжский;67 587;68 037;68 277;Прирост
236;Сосновый Бор;Город;Ленинградская область;Северо-Западный;67 079;67 397;67 602;Прирост
237;Кстово;Город;Нижегородская область;Приволжский;66 788;67 375;67 305;Убывание
238;Белогорск;Город;Амурская область;Дальневосточный;67 572;67 216;66 832;Убывание
239;Кунгур;Город;Пермский край;Приволжский;66 765;66 606;66 311;Убывание
240;Белорецк;Город;Республика Башкортостан;Приволжский;66 939;66 584;66 174;Убывание
241;Ступино;Город;Московская область;Центральный;66 414;66 463;66 420;Убывание
242;Всеволожск;Город;Ленинградская область;Северо-Западный;64 368;66 245;67 911;Прирост
243;Ишимбай;Город;Республика Башкортостан;Приволжский;66 177;66 240;65 850;Убывание
244;Асбест;Город;Свердловская область;Уральский;66 855;66 108;65 305;Убывание
245;Павловский Посад;Город;Московская область;Центральный;65 592;65 800;65 633;Убывание
246;Верхняя Пышма;Город;Свердловская область;Уральский;64 113;65 781;67 674;Прирост
247;Дмитров;Город;Московская область;Центральный;64 906;65 716;66 588;Прирост
248;Славянск-на-Кубани;Город;Краснодарский край;Южный;65 115;65 380;65 812;Прирост
249;Гуково;Город;Ростовская область;Южный;65 264;65 336;65 713;Прирост
250;Ишим;Город;Тюменская область;Уральский;65 002;65 289;65 521;Прирост
251;Заречный;Город;Пензенская область;Приволжский;64 095;64 497;64 887;Прирост
252;Донской;Город;Тульская область;Центральный;63 955;64 403;64 262;Убывание
253;Вольск;Город;Саратовская область;Приволжский;64 558;64 347;64 315;Убывание
254;Борисоглебск;Город;Воронежская область;Центральный;64 208;63 678;63 131;Убывание
